Species,Longitude,Latitude
1,151.10555,-33.76444
1,139.47388,-24.39305
1,138.48318,-23.758
1,146.80068,-19.28278
1,148.9752,-32.50627
1,148.97898,-32.75885
1,149.11352,-32.72094
1,148.62263,-32.40254
1,148.87476,-32.60773
1,125.35138,-32.28721
1,121.59777,-31.5186
1,142.39052,-31.79257
1,142.65111,-31.77471
1,151.0886,-33.49555
1,121.64027,-31.655
1,140.22943,-19.92304
1,148.72613,-32.13616
1,148.415,-32.83916
1,151.06916,-33.55222
1,139.35888,-35.52249
1,147.84404,-34.49911
1,147.25649,-35.39055
1,152.8025,-26.0236
1,144.51111,-31.51749
1,121.7575,-32.34027
1,141.79777,-33.6711
1,138.26333,-23.36138
1,149.09166,-33.84055
1,149.14417,-31.44822
1,148.16521,0.0
1,149.159231,-21.157298
1,153.059254,-27.578481
1,131.5096287,-24.2510406
1,116.496575,-32.010953
1,133.6563302,-24.3431649
1,116.0424095,-31.8835399
1,130.9718687,-25.2427904
1,116.0133287,-32.1321213
1,115.8329,-32.090981
1,115.8613395,-31.8427976
1,153.01909,-27.461881
1,143.5782439,-36.310347
1,115.7874618,-31.8782246
1,115.7658237,-31.8499984
